ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME,SYSDATE,CTRLM_TABLE_NAME,JOBNAME,SCRIPT_NAME,DESCRIPTION,INTERFACE_NAME,CRITICAL_LONG_RUN_JOBS_FLAG,THRESHOLD_RUN_TIME,CRITICAL_NOT_STARTED_JOBS_FLAG,FROMTIME,THRESHOLD_START_TIME,EXCLUDE_JOBS_FLAG,RESTATMENT_RUN_TIME,RESTATMENT_START_TIME,FISCAL_YEAR_END_RUN_TIME,FISCAL_YEAR_END_START_TIME,ACTUAL_RUN_TIME,RUN_TIME_DIFF,NEW_THRESHOLD_START_TIME,START_TIME_DIFF,LATE_START,FAILED,LONG_RUN,NOT_STARTED,REGION,APPLICATION,JOB_TYPE,DM_WORK_GROUP,LOG_CAPTURED_TIMESTAMP
0,0,220141.0,1, ,AA,0,0,20190623223222,20190623223221, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bff,SEBLG408@-SIEBEL014,4c3k3,5208,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
100,0,220143.0,1, ,AA,0,0,20190623223223,20190623223222, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bgf,SEBLG408@-SIEBEL014,4c3k4,7228,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bi,SEBLG408@-SIEBEL014,4c3jm, ,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,224304.0,1, ,AA,0,0,20190623232255,20190623232254, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bj,SEBLG408@-SIEBEL014,4c3jl,6740,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,183406.0,1, ,AA,0,0,20190623183056,20190623183055, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bk,SEBLG408@-SIEBEL014,4c3jn,10876,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
100,0,214155.0,1, ,AA,0,0,20190623221439,20190623221438, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001blf,SEBLG408@-SIEBEL014,4c3k5,7228,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
100,0,154245.0,1, ,AA,0,0,20190623132724,20190623132723, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bn,SEBLG408@-SIEBEL014,4c3jo,11116,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bp,SEBLG408@-SIEBEL014,4c3jp, ,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
800,0,135405.0,9, ,AA,0,0,20190623125730,20190623125721, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001c,SEBLG407@-SIEBEL016,4c46e,6240,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
100,0,252014.0,1, ,AA,0,0,20190624004125,20190624004124, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ca,SEBLG410@-SIEBEL012,4c3h4,11780,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
