ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME
5000,0,192230.0,49, ,AA,0,0,2.01906E+13,2.01906E+13,1900,Ended OK,Run (2) ,190623,sebl5900_tfm_wf_accrflg.bat,SEBLJ5900b,SEBLG410@-SIEBEL012,4c3gg,16776,SEBLG410@-SIEBEL012
4500,0,192230.0,214, ,AA,0,0,2.01906E+13,2.01906E+13,100,Ended OK,Run (2) ,190623,sebl5900_tfm_wf_accrflg.bat,SEBLJ5900c,SEBLG408@-SIEBEL014,4c3iy,7620,SEBLG408@-SIEBEL014
12700,0,192230.0,214, ,AA,0,0,2.01906E+13,2.01906E+13,1900,Ended OK,Run (2) ,190623,sebl5900_tfm_wf_accrflg.bat,SEBLJ5900c,SEBLG408@-SIEBEL014,4c3ix,8248,SEBLG408@-SIEBEL014
12200,0,192230.0,214, ,AA,0,0,2.01906E+13,2.01906E+13,1300,Ended OK,Run (2) ,190623,sebl5900_tfm_wf_accrflg.bat,SEBLJ5900c,SEBLG408@-SIEBEL014,4c3iw,10512,SEBLG408@-SIEBEL014
1300,0,192230.0,16, ,AA,0,0,2.01906E+13,2.01906E+13,100,Ended OK,Run (2) ,190623,sebl5900_tfm_wf_accrflg.bat,SEBLJ5900u,SEBLG409@-SIEBEL018,4c3u3,14196,SEBLG409@-SIEBEL018
6700,0,192230.0,16, ,AA,0,0,2.01906E+13,2.01906E+13,1300,Ended OK,Run (2) ,190623,sebl5900_tfm_wf_accrflg.bat,SEBLJ5900u,SEBLG409@-SIEBEL018,4c3u1,12688,SEBLG409@-SIEBEL018
1800,0,192230.0,16, ,AA,0,0,2.01906E+13,2.01906E+13,1900,Ended OK,Run (2) ,190623,sebl5900_tfm_wf_accrflg.bat,SEBLJ5900u,SEBLG409@-SIEBEL018,4c3u2,8208,SEBLG409@-SIEBEL018
2800,0,192230.0,121, ,AA,0,0,2.01906E+13,2.01906E+13,100,Ended OK,Run (2) ,190623,sebl5901_tfm_wf_pricelist.bat,SEBLJ5901a,SEBLG407@-SIEBEL016,4c45t,9532,SEBLG407@-SIEBEL016
9500,0,192230.0,121, ,AA,0,0,2.01906E+13,2.01906E+13,1900,Ended OK,Run (2) ,190623,sebl5901_tfm_wf_pricelist.bat,SEBLJ5901a,SEBLG407@-SIEBEL016,4c45u,8112,SEBLG407@-SIEBEL016
10900,0,192230.0,121, ,AA,0,0,2.01906E+13,2.01906E+13,1300,Ended OK,Run (2) ,190623,sebl5901_tfm_wf_pricelist.bat,SEBLJ5901a,SEBLG407@-SIEBEL016,4c45s,10952,SEBLG407@-SIEBEL016
1100,0,192230.0,12, ,AA,0,0,2.01906E+13,2.01906E+13,1900,Ended OK,Run (2) ,190623,sebl5901_tfm_wf_pricelist.bat,SEBLJ5901b,SEBLG410@-SIEBEL012,4c3gj,11072,SEBLG410@-SIEBEL012
1600,0,192230.0,12, ,AA,0,0,2.01906E+13,2.01906E+13,1300,Ended OK,Run (2) ,190623,sebl5901_tfm_wf_pricelist.bat,SEBLJ5901b,SEBLG410@-SIEBEL012,4c3gk,17828,SEBLG410@-SIEBEL012
700,0,192230.0,12, ,AA,0,0,2.01906E+13,2.01906E+13,100,Ended OK,Run (2) ,190623,sebl5901_tfm_wf_pricelist.bat,SEBLJ5901b,SEBLG410@-SIEBEL012,4c3gi,17784,SEBLG410@-SIEBEL012
9900,0,192230.0,102, ,AA,0,0,2.01906E+13,2.01906E+13,100,Ended OK,Run (2) ,190623,sebl5901_tfm_wf_pricelist.bat,SEBLJ5901c,SEBLG408@-SIEBEL014,4c3j1,10532,SEBLG408@-SIEBEL014
