CTRLM_TABLE_NAME,JOB_NAME,SCRIPT_NAME,DESCRIPTION,CRITICAL_LONG_RUN_JOBS_FLAG,THRESHOLD_RUN_TIME,CRITICAL_NOT_STARTED_JOBS_FLAG,FROM_TIME,THRESHOLD_START_TIME,EXCLUDE_JOBS_FLAG,FAIL_FLAG,TEAM_NAME,SNOW_WORK_GROUP,MIR3_WORK_GROUP,REGION,APPLICATION,JOB_TYPE
SEBLG408@ADLN5755,SEBLJ5708cn,sebl5708_optima_base_svp.sh,Optima SVP Aggregation Unix Job,Y,60,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ2005bm,sebl2005_s_cx_daily_stats.sh,Daily Stats NT Job,N,60,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG410@-SIEBEL112,SEBLJ5104c,sebl5104_tfm_act_pay_imp.bat,Optima Upload Actuals NT Job,Y,40,N,,2350,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5106c,sebl5106_tfm_act_hdr_upd.bat,Optima Actuals Payment Header NT Job,Y,40,N,,2350,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5108c,sebl5108_tfm_csi_stat_upd.bat,Optima Customer Invoice NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5114b,sebl5114_tfm_ap_payments.bat,Optima Vendor Invoice NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5114f,sebl5114_tfm_ap_payments.bat,Optima Vendor Invoice NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5122c,sebl5122_tfm_postoi_upd.bat,Optima Post OI NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5128c,sebl5128_tfm_sca_off_inv.bat,Optima On Invoice Scalable NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5138b,sebl5138_tfm_treasury_upd.bat,Optima Treasury NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5304d,sebl5304_tfm_shp_init_upd.bat,Optima Shipment FunGenload NT Job,Y,50,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5304e,sebl5304_tfm_shp_init_upd.bat,Optima Shipment FunGenload NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5304f,sebl5304_tfm_shp_init_upd.bat,Optima Shipment FunGenload NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5306d,sebl5306_tfm_shp_fund_imp.bat,Optima Shipment FunGenCalc NT Job,Y,50,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5306e,sebl5306_tfm_shp_fund_imp.bat,Optima Shipment FunGenCalc NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5306f,sebl5306_tfm_shp_fund_imp.bat,Optima Shipment FunGenCalc NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5308d,sebl5308_tfm_shp_fund_upd.bat,Optima Shipment FunGenUpdate NT Job,Y,50,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5308e,sebl5308_tfm_shp_fund_upd.bat,Optima Shipment FunGenUpdate NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5308f,sebl5308_tfm_shp_fund_upd.bat,Optima Shipment FunGenUpdate NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5318d,sebl5318_tfm_chld_upd.bat,Optima Shipment Child Accrual Update NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5318e,sebl5318_tfm_chld_upd.bat,Optima Shipment Child Accrual Update NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
